variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day
Aramon_Noir,22,22Mpt7,NA,1996,NA,3/6/96,NA,NA
Aramon_Noir,22,22Mpt7,NA,2001,3/3/01,29/5/01,6/8/01,28/8/01
Aramon_Noir,22,22Mpt7,NA,2002,9/3/02,31/5/02,6/8/02,27/8/02
Aramon_Noir,22,22Mpt7,NA,2003,18/3/03,3/6/03,5/8/03,24/8/03
Aramon_Noir,22,22Mpt7,NA,2004,21/3/04,4/6/04,12/8/04,31/8/04
Aramon_Noir,22,22Mpt7,NA,2005,2/4/05,6/6/05,12/8/05,6/9/05
Aramon_Noir,22,22Mpt7,NA,2006,23/3/06,29/5/06,6/8/06,6/9/06
Aramon_Noir,22,22Mpt7,NA,2007,7/3/07,19/5/07,1/8/07,29/8/07
Aramon_Noir,22,22Mpt7,NA,2008,12/3/08,28/5/08,7/8/08,3/9/08
Aramon_Noir,22,22Mpt7,NA,2009,14/3/09,26/5/09,30/7/09,1/9/09
Aramon_Noir,22,22Mpt7,NA,2010,24/3/10,1/6/10,9/8/10,20/9/10
Aramon_Noir,22,22Mpt7,NA,2011,15/3/11,20/5/11,29/7/11,9/9/11
Aramon_Noir,22,22Mpt7,NA,2012,16/3/12,28/5/12,3/8/12,6/9/12
Aramon_Noir,22,22Mpt7,NA,2013,21/3/13,10/6/13,19/8/13,NA
Aramon_Noir,22,22Mpt9,NA,1956,28/3/56,NA,NA,10/9/56
Aramon_Noir,22,22Mpt9,NA,1957,14/3/57,NA,NA,NA
Aramon_Noir,22,22Mpt9,NA,1958,29/3/58,NA,NA,12/9/58
Aramon_Noir,22,22Mpt9,NA,1959,19/3/59,NA,NA,12/9/59
Aramon_Noir,22,22Mpt9,NA,1960,15/3/60,NA,NA,5/9/60
Aramon_Noir,22,22Mpt9,NA,1976,NA,NA,9/8/76,NA
Aramon_Noir,22,22Mpt9,NA,1977,NA,NA,16/8/77,NA
Aramon_Noir,22,22Mpt9,NA,1978,NA,NA,16/8/78,NA
Aramon_Noir,22,22Mpt9,NA,1981,24/3/81,NA,NA,NA
Aramon_Noir,22,22Mpt9,NA,1983,21/3/83,NA,NA,NA
Aramon_Noir,22,22Mpt9,NA,1986,20/3/86,NA,NA,NA
Aramon_Noir,22,22Mpt9,NA,1987,NA,8/6/87,6/8/87,NA
Aramon_Noir,22,22Mpt9,NA,1988,15/3/88,1/6/88,5/8/88,12/9/88
Aramon_Noir,22,22Mpt9,NA,1996,NA,3/6/96,NA,NA
Aramon_Noir,22,22Mpt9,NA,2010,24/3/10,3/6/10,2/8/10,10/9/10
Aramon_Noir,22,22Mpt9,NA,2011,13/3/11,18/5/11,28/7/11,15/9/11
Aramon_Noir,22,22Mpt9,NA,2012,17/3/12,29/5/12,3/8/12,6/9/12
Aramon_Noir,22,22Mpt9,NA,2013,19/3/13,6/6/13,12/8/13,NA
Aramon_Noir,22,22Mpt10,NA,1958,17/3/58,NA,NA,NA
Aramon_Noir,22,22Mpt10,NA,1959,12/3/59,NA,NA,24/8/59
Aramon_Noir,22,22Mpt10,NA,1960,5/3/60,NA,NA,NA
Aramon_Noir,22,22Mpt10,NA,1961,5/3/61,NA,NA,21/8/61
Aramon_Noir,22,22Mpt10,NA,1962,30/3/62,NA,NA,17/9/62
Aramon_Noir,22,22Mpt10,NA,1963,5/4/63,NA,NA,16/9/63
Aramon_Noir,22,22Mpt10,NA,1964,1/4/64,NA,NA,15/9/64
Aramon_Noir,22,22Mpt10,NA,1965,29/3/65,NA,NA,20/9/65
Aramon_Noir,22,22Mpt11,NA,1992,19/3/92,25/5/92,30/7/92,7/9/92
Aramon_Noir,22,22Mpt11,NA,1993,16/3/93,NA,NA,NA
Aramon_Noir,22,22Mpt11,NA,1994,28/2/94,NA,NA,NA
Aramon_Noir,22,22Mpt11,NA,1995,NA,30/5/95,16/8/95,7/9/95
Aramon_Noir,22,22Mpt11,NA,2002,1/3/02,NA,NA,NA
Aramon_Noir,22,22Mpt11,NA,2003,16/3/03,30/5/03,5/8/03,30/8/03
Aramon_Noir,22,22Mpt11,NA,2004,15/3/04,4/6/04,2/8/04,24/8/04
Aramon_Noir,22,22Mpt11,NA,2005,30/3/05,2/6/05,8/8/05,31/8/05
Aramon_Noir,22,22Mpt11,NA,2006,21/3/06,28/5/06,8/8/06,6/9/06
Aramon_Noir,22,22Mpt11,NA,2007,4/3/07,19/5/07,24/7/07,29/8/07
Aramon_Noir,22,22Mpt11,NA,2008,26/2/08,25/5/08,31/7/08,28/8/08
Aramon_Noir,22,22Mpt11,NA,2009,10/3/09,NA,NA,NA
Aramon_Noir,22,2R1S101.105,NA,2013,19/3/13,NA,NA,NA
Aramon_Noir,22,2R2S51.55,NA,2013,20/3/13,NA,NA,NA
Aramon_Noir,22,2R2S66.70,NA,2013,21/3/13,NA,NA,NA
Aramon_Noir,22,2R2S71.75,NA,2013,21/3/3,NA,NA,NA
Cabernet_Sauvignon,322,322Mpt1,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt1,NA,1957,23/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt1,NA,1958,NA,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt1,NA,1959,24/3/59,NA,NA,25/8/59
Cabernet_Sauvignon,322,322Mpt1,NA,1960,23/3/60,NA,NA,NA
Cabernet_Sauvignon,322,322Mpt2,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt2,NA,1957,21/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt2,NA,1958,5/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt2,NA,1959,27/3/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt3,NA,1956,31/3/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt3,NA,1957,19/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt3,NA,1958,5/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt3,NA,1959,27/3/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt4,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt4,NA,1957,23/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt4,NA,1958,3/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt4,NA,1959,30/3/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt4,NA,1976,NA,NA,12/8/76,NA
Cabernet_Sauvignon,322,322Mpt4,NA,1977,NA,NA,12/8/77,NA
Cabernet_Sauvignon,322,322Mpt4,NA,1978,NA,NA,16/8/78,NA
Cabernet_Sauvignon,322,322Mpt4,NA,1993,NA,1/6/93,2/8/93,NA
Cabernet_Sauvignon,322,322Mpt4,NA,1994,NA,24/5/94,8/8/94,NA
Cabernet_Sauvignon,322,322Mpt4,NA,1995,3/4/95,28/5/95,16/8/95,7/9/95
Cabernet_Sauvignon,322,322Mpt4,NA,1996,28/3/96,29/5/96,7/8/96,13/9/96
Cabernet_Sauvignon,322,322Mpt4,NA,1997,16/3/97,17/5/97,27/7/97,8/9/97
Cabernet_Sauvignon,322,322Mpt4,NA,1998,1/4/98,2/6/98,7/8/98,17/9/98
Cabernet_Sauvignon,322,322Mpt4,NA,1999,29/3/99,28/5/99,3/8/99,15/9/99
Cabernet_Sauvignon,322,322Mpt4,NA,2000,7/4/00,2/6/00,31/7/00,28/8/00
Cabernet_Sauvignon,322,322Mpt4,NA,2001,24/3/01,24/5/01,30/7/01,NA
Cabernet_Sauvignon,322,322Mpt4,NA,2002,21/3/02,27/5/02,29/7/02,3/9/02
Cabernet_Sauvignon,322,322Mpt4,NA,2003,2/4/03,30/5/03,25/7/03,28/8/03
Cabernet_Sauvignon,322,322Mpt4,NA,2004,1/4/04,4/6/04,2/8/04,13/9/04
Cabernet_Sauvignon,322,322Mpt4,NA,2005,14/4/05,3/6/05,1/8/05,6/9/05
Cabernet_Sauvignon,322,322Mpt4,NA,2006,2/4/06,27/5/06,28/7/06,16/8/06
Cabernet_Sauvignon,322,322Mpt4,NA,2007,27/3/07,24/5/07,20/7/07,3/9/07
Cabernet_Sauvignon,322,322Mpt4,NA,2008,1/4/08,29/5/08,31/7/08,27/8/08
Cabernet_Sauvignon,322,322Mpt4,NA,2009,30/3/09,26/5/09,21/7/09,1/9/09
Cabernet_Sauvignon,322,322Mpt4,NA,2010,10/4/10,3/6/10,2/8/10,10/9/10
Cabernet_Sauvignon,322,322Mpt4,NA,2011,21/3/11,16/5/11,28/7/11,8/9/11
Cabernet_Sauvignon,322,322Mpt4,NA,2012,31/3/12,31/5/12,6/8/12,13/9/12
Cabernet_Sauvignon,322,322Mpt5,NA,1956,3/4/56,NA,NA,20/8/56
Cabernet_Sauvignon,322,322Mpt5,NA,1957,21/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt5,NA,1958,3/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt5,NA,1959,NA,NA,NA,25/8/59
Cabernet_Sauvignon,322,322Mpt6,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt6,NA,1957,23/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt6,NA,1958,4/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt6,NA,1959,30/3/59,NA,NA,25/8/59
Cabernet_Sauvignon,322,322Mpt7,NA,1956,31/3/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt7,NA,1957,NA,NA,NA,14/9/57
Cabernet_Sauvignon,322,322Mpt7,NA,1958,1/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt7,NA,1959,30/3/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt7,NA,1960,24/3/60,NA,NA,NA
Cabernet_Sauvignon,322,322Mpt8,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt8,NA,1957,21/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt8,NA,1958,5/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt8,NA,1959,27/3/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt8,NA,1976,NA,NA,5/8/76,NA
Cabernet_Sauvignon,322,322Mpt8,NA,1977,NA,NA,12/8/77,NA
Cabernet_Sauvignon,322,322Mpt8,NA,1978,NA,NA,8/8/78,NA
Cabernet_Sauvignon,322,322Mpt9,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt9,NA,1957,20/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt9,NA,1958,3/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt9,NA,1959,NA,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt10,NA,1956,3/4/56,NA,NA,27/8/56
Cabernet_Sauvignon,322,322Mpt10,NA,1957,23/3/57,NA,NA,9/9/57
Cabernet_Sauvignon,322,322Mpt10,NA,1958,4/4/58,NA,NA,11/9/58
Cabernet_Sauvignon,322,322Mpt10,NA,1959,28/3/59,NA,NA,25/8/59
Cabernet_Sauvignon,322,322Mpt11,NA,1958,15/4/58,NA,NA,12/9/58
Cabernet_Sauvignon,322,322Mpt11,NA,1959,4/4/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt11,NA,1960,27/3/60,NA,NA,12/9/60
Cabernet_Sauvignon,322,322Mpt11,NA,1961,NA,NA,NA,2/9/61
Cabernet_Sauvignon,322,322Mpt11,NA,1976,NA,NA,6/8/76,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1977,NA,NA,8/8/77,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1978,NA,NA,17/8/78,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1993,NA,1/6/93,2/8/93,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1994,NA,24/5/94,8/8/94,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1995,23/3/95,28/5/95,11/8/95,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1996,25/3/96,29/5/96,5/8/96,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1997,17/3/97,19/5/97,27/7/97,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1998,27/3/98,27/5/98,4/8/98,NA
Cabernet_Sauvignon,322,322Mpt11,NA,1999,28/3/99,28/5/99,27/7/99,NA
Cabernet_Sauvignon,322,322Mpt11,NA,2000,5/4/00,29/5/00,7/8/00,NA
Cabernet_Sauvignon,322,322Mpt11,NA,2001,19/3/01,27/5/01,23/7/01,28/8/01
Cabernet_Sauvignon,322,322Mpt11,NA,2002,21/3/02,27/5/02,29/7/02,30/8/02
Cabernet_Sauvignon,322,322Mpt11,NA,2003,3/4/03,30/5/03,30/7/03,29/8/03
Cabernet_Sauvignon,322,322Mpt11,NA,2004,24/3/04,2/6/04,2/8/04,6/9/04
Cabernet_Sauvignon,322,322Mpt11,NA,2005,13/4/05,5/6/05,5/8/05,6/9/05
Cabernet_Sauvignon,322,322Mpt11,NA,2006,3/4/06,27/5/06,31/7/06,6/9/06
Cabernet_Sauvignon,322,322Mpt11,NA,2007,29/3/07,21/5/07,24/7/07,29/8/07
Cabernet_Sauvignon,322,322Mpt11,NA,2008,20/3/08,27/5/08,31/7/08,28/8/08
Cabernet_Sauvignon,322,322Mpt11,NA,2009,29/3/09,26/5/09,27/7/09,1/9/09
Cabernet_Sauvignon,322,322Mpt12,NA,1958,8/4/58,NA,NA,12/9/58
Cabernet_Sauvignon,322,322Mpt12,NA,1959,3/4/59,NA,NA,7/9/59
Cabernet_Sauvignon,322,322Mpt12,NA,1960,23/3/60,NA,NA,12/9/60
Cabernet_Sauvignon,322,322Mpt12,NA,1961,23/3/61,NA,NA,2/9/61
Cabernet_Sauvignon,322,322Mpt12,NA,1976,NA,NA,6/8/76,NA
Cabernet_Sauvignon,322,322Mpt12,NA,1977,NA,NA,12/8/77,NA
Cabernet_Sauvignon,322,322Mpt12,NA,1978,NA,NA,17/8/78,NA
Cabernet_Sauvignon,322,322Mpt12,NA,1993,NA,1/6/93,2/8/93,NA
Cabernet_Sauvignon,322,322Mpt12,NA,1994,NA,24/5/94,8/8/94,NA
Cabernet_Sauvignon,322,322Mpt12,NA,1995,3/4/95,28/5/95,11/8/95,7/9/95
Cabernet_Sauvignon,322,322Mpt12,NA,1996,1/4/96,1/6/96,7/8/96,13/9/96
Cabernet_Sauvignon,322,322Mpt12,NA,1997,14/3/97,17/5/97,27/7/97,8/9/97
Cabernet_Sauvignon,322,322Mpt12,NA,1998,28/3/98,27/5/98,4/8/98,10/9/98
