,variety,variety_ID,clone_ID,clone_num,year,bud_day,flow_day,ver_day,mat_day,BB,FLOW,VER,MAT,review
1,Aramon_Noir,22,22Mpt1,NA,1958,26/3/58,NA,NA,12/9/58,26/3/1958,NA,NA,12/9/58,NA
2,Aramon_Noir,22,22Mpt1,NA,1959,21/3/59,NA,NA,14/9/59,21/3/1959,NA,NA,14/9/1959,NA
3,Aramon_Noir,22,22Mpt1,NA,1960,9/3/60,NA,NA,2/9/61,9/3/60,NA,NA,2/9/61,NA
4,Aramon_Noir,22,22Mpt1,NA,1962,5/4/62,NA,NA,17/9/62,5/4/62,NA,NA,17/9/1962,NA
5,Aramon_Noir,22,22Mpt1,NA,1963,11/4/63,NA,NA,23/9/63,11/4/63,NA,NA,23/9/1963,NA
6,Aramon_Noir,22,22Mpt1,NA,1964,1/4/64,NA,NA,15/9/64,1/4/64,NA,NA,15/9/1964,NA
7,Aramon_Noir,22,22Mpt1,NA,1965,3/4/65,NA,NA,20/9/65,3/4/65,NA,NA,20/9/1965,NA
8,Aramon_Noir,22,22Mpt1,NA,1976,NA,NA,2/8/76,NA,NA,NA,2/8/76,NA,NA
9,Aramon_Noir,22,22Mpt1,NA,1977,NA,NA,16/8/77,NA,NA,NA,16/8/1977,NA,NA
10,Aramon_Noir,22,22Mpt1,NA,1978,NA,NA,10/8/78,NA,NA,NA,10/8/78,NA,NA
11,Aramon_Noir,22,22Mpt1,NA,1981,26/3/81,NA,NA,NA,26/3/1981,NA,NA,NA,NA
12,Aramon_Noir,22,22Mpt1,NA,1983,22/3/83,NA,NA,NA,22/3/1983,NA,NA,NA,NA
13,Aramon_Noir,22,22Mpt1,NA,1986,24/3/86,NA,NA,NA,24/3/1986,NA,NA,NA,NA
14,Aramon_Noir,22,22Mpt1,NA,1994,NA,28/5/94,NA,NA,NA,28/5/1994,NA,NA,NA
15,Aramon_Noir,22,22Mpt1,NA,1995,NA,3/6/95,NA,NA,NA,3/6/95,NA,NA,NA
16,Aramon_Noir,22,22Mpt1,NA,1996,NA,3/6/96,5/8/96,NA,NA,3/6/96,5/8/96,NA,NA
17,Aramon_Noir,22,22Mpt1,NA,1997,3/3/97,17/5/97,4/8/97,8/9/97,3/3/97,17/5/1997,4/8/97,8/9/97,NA
